Names,Net Worth,Spouse,No. of Children,Education
Jeff Bezos,US$137 billion (January 2019),MacKenzie Tuttle (m. 1993)(separated),4,Princeton University (BS)
Bill Gates,US$95.6 billion (November 2018),Melinda French(m. 1994),3,Harvard College
Larry Ellison,US$59.5 billion (November 2018),Adda Quinn(m. 1967; div. 1974)Nancy Wheeler Jenkins(m. 1977; div. 1978)Barbara Boothe(m. 1983; div. 1986)Melanie Craft(m. 2003; div. 2010),2,University of Chicago
Sergey Brin,US$50.6 billion (October 2018),"Anne Wojcicki
(m. 2007; div. 2015)",2,Stanford University
Elon Musk,US$21.4 billion (January 2019),"Justine Wilson
(m. 2000; div. 2008)
Talulah Riley
(m. 2010; div. 2012) ",6,University of Pennsylvania
Mark Zuckerberg,US$55.0 billion (November 2018),Priscilla Chan (m. 2012),2,Harvard University
Carlos Slim HelÃº,US$59.2 billion (November 2018),Soumaya Domit (m. 1967–1999; her death),7,"	Civil engineering"
Vera Wang,US$42.0 billion,"Arthur Becker
(m. 1989; separated 2012)",2,"The School of American Ballet,"
Ted Turner,US$2.2 billion (November 2018),"Julia Gale Nye
(m. 1960; div. 1964)
Jane Shirley Smith
(m. 1965; div. 1988)
Jane Fonda
(m. 1991; div. 2001)",5,Brown University
Richard Branson,US$ 5.1 billion (April 2018),"Kristen Tomassi
(m. 1972; div. 1979) 
Joan Templeman
(m. 1989)",2,Stowe school
Magic Johnson,,Cookie Johnson(m. 1991),3,Everett
Jerry Yang,US$2.6 billion (August 2018),Akiko Yamazaki,,"Bachelor of Science, Electrical Engineering; Master of Science, Electrical Engineering."
Larry Page,US$53.4 billion (2018),Lucinda Southworth (m. 2007),2,"University of Michigan (BS)
Stanford University (MS)"
Oprah Winfrey,US$2.6 billion (January 2019),Stedman Graham (1986–present),0,Tennessee State University
Michael Dell,US$28.6 billion (September 2018),Susan Lynn Lieberman (m. 1989),4,University of Texas at Austin
Nolan Bushnell, ,Nancy Bushnell,8,"University of Utah
Stanford Business School"
David M. Overton,,,,
Sean Combs,US $825 million (2018),"Cassie Ventura (2006–2008, 2015–2018)",6,Howard University
Mark Cuban,US$3.7 billion (August 2018),Tiffany Stewart (m. 2002),3,Indiana University Bloomington
Amancio Ortega Gaona,US$63.3 billion (November 2018),"Rosalía Mera
(m. 1966; div. 1986)
Flora Pérez Marcote (m. 2001)",4,
Rihanna,"US $260 million
(2018)",,,
Kiran Mazumdar-Shaw,US$3.2 billion (2018),John Shaw,,"Bangalore University
Federation University"
